Agency Acronym,Agency,Bureau
ACUS,Administrative Conference of the United States,
ACHP,Advisory Council on Historic Preservation,
ABMC,American Battle Monuments Commission,
ARC,Appalachian Regional Commission,
FFIEC,Appraisal Subcommittee of the Federal Financial Institutions Examination Council,
AFRH,Armed Forces Retirement Home,
BGSEEF,Barry Goldwater Scholarship and Excellence in Education Program,
CIA,Central Intelligence Agency,
CCFF,Christopher Columbus Fellowship Foundation,
HERITAGEABROAD,Commission for the Preservation of America's Heritage Abroad,
CFA,Commission of Fine Arts,
CFP,Committee for Purchase From People Who Are Blind or Severely Disabled,
CFTC,Commodity Futures Trading Commission,
CFPB,Consumer Financial Protection Bureau,
CPSC,Consumer Product Safety Commission,
CNCS,Corporation for National and Community Service,
IGNET,Council of Inspectors General on Integrity and Efficiency,
CSOSA,DC Court Services and Offender Supervision Agency,
CSOSA,DC Court Services and Offender Supervision Agency,Pretrial Services Agency
DCPTS,DC Pre-trial Services,
DNFSB,Defense Nuclear Facilities Safety Board,
DRA,Delta Regional Authority,
DENALI,Denali Commission,
USDA,Department of Agriculture,
USDA,Department of Agriculture,Agricultural Marketing Service
USDA,Department of Agriculture,Agricultural Research Service
USDA,Department of Agriculture,Animal and Plant Health Inspection Service
USDA,Department of Agriculture,Center for Nutrition Policy and Promotion
USDA,Department of Agriculture,"Cooperative State Research, Education, and Extension Service"
USDA,Department of Agriculture,Departmental Administration
USDA,Department of Agriculture,"Deputy Chief, Research, and Development"
USDA,Department of Agriculture,Economic Research Service
USDA,Department of Agriculture,Faith Based and Neighborhood Partnerships
USDA,Department of Agriculture,Farm and Foreign Agricultural Services
USDA,Department of Agriculture,Farm Production & Conservation Business Center
USDA,Department of Agriculture,Farm Production and Conservation
USDA,Department of Agriculture,Farm Service Agency
USDA,Department of Agriculture,Farm Service Agency - County Offices
USDA,Department of Agriculture,Financial Management Services
USDA,Department of Agriculture,Food and Nutrition Service
USDA,Department of Agriculture,Food Safety and Inspection Service
USDA,Department of Agriculture,"Food, Nutrition, and Consumer Services"
USDA,Department of Agriculture,Foreign Agricultural Service
USDA,Department of Agriculture,Forest Service
USDA,Department of Agriculture,Law Enforcement and Investigations
USDA,Department of Agriculture,Marketing and Regulatory Programs
USDA,Department of Agriculture,National Agricultural Library
USDA,Department of Agriculture,National Agricultural Statistics Service
USDA,Department of Agriculture,National Finance Center
USDA,Department of Agriculture,National Finance Center - Office of the Director
USDA,Department of Agriculture,National Institute of Food and Agriculture
USDA,Department of Agriculture,Natural Resources and Environment
USDA,Department of Agriculture,Natural Resources Conservation Service
USDA,Department of Agriculture,Office of Budget and Program Analysis
USDA,Department of Agriculture,Office of Communications
USDA,Department of Agriculture,Office of Contracting and Procurement
USDA,Department of Agriculture,Office of Hearings and Appeals
USDA,Department of Agriculture,Office of Homeland Security
USDA,Department of Agriculture,Office of Human Resources Management
USDA,Department of Agriculture,Office of Operations
USDA,Department of Agriculture,Office of Partnership and Public Engagement
USDA,Department of Agriculture,Office of Property and Fleet Management
USDA,Department of Agriculture,Office of Small and Disadvantaged Business
USDA,Department of Agriculture,Office of the Assistant Secretary for Civil Rights
USDA,Department of Agriculture,Office of the Chief Financial Officer
USDA,Department of Agriculture,Office of the Chief Information Officer
USDA,Department of Agriculture,Office of The Executive Secretariat
USDA,Department of Agriculture,Office of the General Counsel
